Trial,Species,Age,Virgin,Time_Since_Mated,Blueberry,Test,Date,Time,Temp,Courtship_Index_%,Courtship_Index_arcsine,Cop,Cop_Latency,Cop_Duration,Researcher,Notes
DS_V3-5_NBB_01,Drosophila_suzukii,3_5,Y,NA,N,DS_V3-5_NBB,09.06.2016,10:06,22.5,91,72.54,N,NA,NA,Rene,
DS_V3-5_NBB_02,Drosophila_suzukii,3_5,Y,NA,N,DS_V3-5_NBB,09.02.2016,10:00,22.5,71,57.42,N,NA,NA,Marissa,
DS_V3-5_NBB_03,Drosophila_suzukii,3_5,Y,NA,N,DS_V3-5_NBB,09.02.2016,10:00,22.5,19,25.84,N,NA,NA,Marissa,
DS_V3-5_NBB_04,Drosophila_suzukii,3_5,Y,NA,N,DS_V3-5_NBB,09.02.2016,10:21,24,80,63.43,N,NA,NA,Rene,
DS_V3-5_NBB_05,Drosophila_suzukii,3_5,Y,NA,N,DS_V3-5_NBB,09.02.2016,10:20,24,53,46.72,N,NA,NA,Marissa,
DS_V3-5_NBB_06,Drosophila_suzukii,3_5,Y,NA,N,DS_V3-5_NBB,09.02.2016,10:34,24,53,46.72,N,NA,NA,Rene,
DS_V3-5_NBB_07,Drosophila_suzukii,3_5,Y,NA,N,DS_V3-5_NBB,09.06.2016,9:41,22.5,24,29.33,N,NA,NA,Rene,
DS_V3-5_NBB_08,Drosophila_suzukii,3_5,Y,NA,N,DS_V3-5_NBB,09.06.2016,9:52,23,37,37.46,N,NA,NA,Rene,
DS_V3-5_NBB_09,Drosophila_suzukii,3_5,Y,NA,N,DS_V3-5_NBB,09.06.2016,10:03,24,84,66.42,N,NA,NA,Rene,
DS_V3-5_NBB_10,Drosophila_suzukii,3_5,Y,NA,N,DS_V3-5_NBB,09.06.2016,10:14,25,22,27.97,N,NA,NA,Rene,
DS_V3-5_NBB_11,Drosophila_suzukii,3_5,Y,NA,N,DS_V3-5_NBB,09.12.2016,10:30,23,0,0,N,NA,NA,Marissa,
DS_V3-5_NBB_12,Drosophila_suzukii,3_5,Y,NA,N,DS_V3-5_NBB,09.12.2016,10:38,23,48,43.85,N,NA,NA,Marissa,
DS_V3-5_NBB_13,Drosophila_suzukii,3_5,Y,NA,N,DS_V3-5_NBB,09.12.2016,10:50,24,17,24.35,N,NA,NA,Marissa,
DS_V3-5_NBB_14,Drosophila_suzukii,3_5,Y,NA,N,DS_V3-5_NBB,09.12.2016,10:50,24,28,31.95,N,NA,NA,Marissa,
DS_V3-5_NBB_15,Drosophila_suzukii,3_5,Y,NA,N,DS_V3-5_NBB,09.16.2016,10:10,23,71,57.42,N,NA,NA,Rene,
DS_V3-5_NBB_16,Drosophila_suzukii,3_5,Y,NA,N,DS_V3-5_NBB,09.16.2016,10:00,23,67,54.94,N,NA,NA,Marissa,
DS_V3-5_NBB_17,Drosophila_suzukii,3_5,Y,NA,N,DS_V3-5_NBB,09.16.2016,10:20,24,7.2,15.56,N,NA,NA,Marissa,
DS_V3-5_NBB_18,Drosophila_suzukii,3_5,Y,NA,N,DS_V3-5_NBB,09.16.2016,10:20,24,86,68.03,N,NA,NA,Rene,
DS_V3-5_NBB_19,Drosophila_suzukii,3_5,Y,NA,N,DS_V3-5_NBB,09.16.2016,10:30,24,84,66.42,N,NA,NA,Marissa,
DS_V3-5_NBB_20,Drosophila_suzukii,3_5,Y,NA,N,DS_V3-5_NBB,09.16.2016,10:32,24,0,0,N,NA,NA,Rene,
DB_V3-5_NBB_01,Drosophila_biarmipes,3_5,Y,NA,N,DB_V3-5_NBB,09.02.2016,10:50,24,3.2,10.3,N,NA,NA,Marissa,
DB_V3-5_NBB_02,Drosophila_biarmipes,3_5,Y,NA,N,DB_V3-5_NBB,09.06.2016,10:27,24,23,28.66,Y,164,1624,Rene,
DB_V3-5_NBB_03,Drosophila_biarmipes,3_5,Y,NA,N,DB_V3-5_NBB,09.06.2016,10:33,25,78,62.03,Y,400,1537,Rene,
DB_V3-5_NBB_04,Drosophila_biarmipes,3_5,Y,NA,N,DB_V3-5_NBB,09.06.2016,10:43,25,59,50.18,N,NA,NA,Rene,
DB_V3-5_NBB_05,Drosophila_biarmipes,3_5,Y,NA,N,DB_V3-5_NBB,09.12.2016,10:20,22,66,54.33,Y,90,1602,Marissa,
DB_V3-5_NBB_06,Drosophila_biarmipes,3_5,Y,NA,N,DB_V3-5_NBB,09.12.2016,10:20,22,NA,NA,NA,NA,NA,NA,Decapitated male
DB_V3-5_NBB_07,Drosophila_biarmipes,3_5,Y,NA,N,DB_V3-5_NBB,09.14.2016,10:01,23,70,56.79,N,NA,NA,Rene,
DB_V3-5_NBB_08,Drosophila_biarmipes,3_5,Y,NA,N,DB_V3-5_NBB,09.14.2016,10:12,24,69,56.17,N,NA,NA,Marissa,
DB_V3-5_NBB_09,Drosophila_biarmipes,3_5,Y,NA,N,DB_V3-5_NBB,09.14.2016,10:20,24,58,49.6,N,NA,NA,Rene,
DB_V3-5_NBB_10,Drosophila_biarmipes,3_5,Y,NA,N,DB_V3-5_NBB,09.14.2016,10:22,24,43,40.98,Y,88,1227,Marissa,
DB_V3-5_NBB_11,Drosophila_biarmipes,3_5,Y,NA,N,DB_V3-5_NBB,09.14.2016,10:28,24,83,65.65,Y,165,1299,Marissa,
DB_V3-5_NBB_12,Drosophila_biarmipes,3_5,Y,NA,N,DB_V3-5_NBB,09.16.2016,10:50,25,0,0,N,NA,NA,Paul,
DB_V3-5_NBB_13,Drosophila_biarmipes,3_5,Y,NA,N,DB_V3-5_NBB,10.21.2016,9:15,24,55,47.87,Y,142,1349,Rene,
DB_V3-5_NBB_14,Drosophila_biarmipes,3_5,Y,NA,N,DB_V3-5_NBB,10.21.2016,9:26,24,11,19.37,N,NA,NA,Marissa,
DB_V3-5_NBB_15,Drosophila_biarmipes,3_5,Y,NA,N,DB_V3-5_NBB,10.21.2016,9:28,24,38,38.06,N,NA,NA,Marissa,
DB_V3-5_NBB_16,Drosophila_biarmipes,3_5,Y,NA,N,DB_V3-5_NBB,10.21.2016,9:37,24,81,64.16,Y,160,1379,Rene,
DB_V3-5_NBB_17,Drosophila_biarmipes,3_5,Y,NA,N,DB_V3-5_NBB,10.21.2016,9:49,24,49,44.43,N,NA,NA,Rene,
DB_V3-5_NBB_18,Drosophila_biarmipes,3_5,Y,NA,N,DB_V3-5_NBB,10.21.2016,9:52,24,82,64.9,Y,380,1691,Marissa,
DB_V3-5_NBB_19,Drosophila_biarmipes,3_5,Y,NA,N,DB_V3-5_NBB,10.21.2016,10:42,24,85,67.21,Y,155,1286,Rene,
DB_V3-5_NBB_20,Drosophila_biarmipes,3_5,Y,NA,N,DB_V3-5_NBB,10.21.2016,10:47,24,87,68.87,Y,98,1295,Rene,
DB_V3-5_NBB_21,Drosophila_biarmipes,3_5,Y,NA,N,DB_V3-5_NBB,10.21.2016,10:52,24,51,45.57,Y,277,1448,Rene,
DS_PM1_BB_01,Drosophila_suzukii,3_5,N,1,Y,DS_PM1_BB,09.23.2016,11:06,25,78,62.03,N,NA,NA,Rene,
DS_PM1_BB_02,Drosophila_suzukii,3_5,N,1,Y,DS_PM1_BB,09.23.2016,11:11,25,11,19.37,N,NA,NA,Paul,
DS_PM1_BB_03,Drosophila_suzukii,3_5,N,1,Y,DS_PM1_BB,09.23.2016,11:23,25,7,15.34,N,NA,NA,Paul,
DS_PM1_BB_04,Drosophila_suzukii,3_5,N,1,Y,DS_PM1_BB,09.23.2016,11:23,25,8,16.43,N,NA,NA,Rene,
DS_PM1_BB_05,Drosophila_suzukii,3_5,N,1,Y,DS_PM1_BB,10.21.2016,10:08,24,5,12.92,N,NA,NA,Rene,
DS_PM1_BB_06,Drosophila_suzukii,3_5,N,1,Y,DS_PM1_BB,10.21.2016,10:18,24,18,25.1,N,NA,NA,Rene,
DS_PM1_BB_07,Drosophila_suzukii,3_5,N,1,Y,DS_PM1_BB,10.21.2016,10:30,24,1,5.74,N,NA,NA,Rene,
DS_PM1_BB_08,Drosophila_suzukii,3_5,N,1,Y,DS_PM1_BB,10.21.2016,11:01,24,0,0,N,NA,NA,Rene,
DS_PM1_BB_09,Drosophila_suzukii,3_5,N,1,Y,DS_PM1_BB,10.24.2016,10:10,24,4,11.54,N,NA,NA,Rene,
DS_PM1_BB_10,Drosophila_suzukii,3_5,N,1,Y,DS_PM1_BB,10.24.2016,10:20,24,51,45.57,N,NA,NA,Marissa,
DS_PM1_BB_11,Drosophila_suzukii,3_5,N,1,Y,DS_PM1_BB,10.24.2016,10:22,24,30,33.21,N,NA,NA,Marissa,
DS_PM1_BB_12,Drosophila_suzukii,3_5,N,1,Y,DS_PM1_BB,10.28.2016,10:01,24,0,0,N,NA,NA,Rene,
DS_PM1_BB_13,Drosophila_suzukii,3_5,N,1,Y,DS_PM1_BB,10.28.2016,10:02,24,0,0,N,NA,NA,Marissa,
DS_PM1_BB_14,Drosophila_suzukii,3_5,N,1,Y,DS_PM1_BB,10.28.2016,10:11,24,14,21.97,N,NA,NA,Rene,
DS_PM1_BB_15,Drosophila_suzukii,3_5,N,1,Y,DS_PM1_BB,10.28.2016,10:40,24,0,0,N,NA,NA,Marissa,
DS_PM1_BB_16,Drosophila_suzukii,3_5,N,1,Y,DS_PM1_BB,10.28.2016,10:41,24,0,0,N,NA,NA,Rene,
DS_PM1_BB_17,Drosophila_suzukii,3_5,N,1,Y,DS_PM1_BB,10.28.2016,10:53,24,28,31.95,N,NA,NA,Rene,
DS_PM1_BB_18,Drosophila_suzukii,3_5,N,1,Y,DS_PM1_BB,10.28.2016,11:02,24,11,19.37,N,NA,NA,Marissa,
DS_PM1_BB_19,Drosophila_suzukii,3_5,N,1,Y,DS_PM1_BB,10.28.2016,11:11,24,6,14.18,N,NA,NA,Rene,
DS_PM1_BB_20,Drosophila_suzukii,3_5,N,1,Y,DS_PM1_BB,10.28.2016,11:15,24,0,0,N,NA,NA,Marissa,
DB_PM1_NBB_01,Drosophila_biarmipes,3_5,N,1,N,DB_PM1_NBB,09.19.2016,10:08,25,28,31.95,N,NA,NA,Rene,
DB_PM1_NBB_02,Drosophila_biarmipes,3_5,N,1,N,DB_PM1_NBB,09.19.2016,10:10,25,2,8.13,N,NA,NA,Marissa,
DB_PM1_NBB_03,Drosophila_biarmipes,3_5,N,1,N,DB_PM1_NBB,09.19.2016,10:20,25,12,20.27,N,NA,NA,Rene,
DB_PM1_NBB_04,Drosophila_biarmipes,3_5,N,1,N,DB_PM1_NBB,09.19.2016,10:22,25,1,5.74,N,NA,NA,Marissa,
DB_PM1_NBB_05,Drosophila_biarmipes,3_5,N,1,N,DB_PM1_NBB,09.19.2016,10:32,25,11,19.37,N,NA,NA,Rene,
DB_PM1_NBB_06,Drosophila_biarmipes,3_5,N,1,N,DB_PM1_NBB,09.19.2016,10:35,25,2,8.13,N,NA,NA,Marissa,
DB_PM1_NBB_07,Drosophila_biarmipes,3_5,N,1,N,DB_PM1_NBB,09.19.2016,10:43,25,20,26.57,N,NA,NA,Rene,
DB_PM1_NBB_08,Drosophila_biarmipes,3_5,N,1,N,DB_PM1_NBB,09.19.2016,10:53,25,19,25.84,N,NA,NA,Rene,
DB_PM1_NBB_09,Drosophila_biarmipes,3_5,N,1,N,DB_PM1_NBB,09.19.2016,10:56,25,14,21.97,N,NA,NA,Marissa,
DB_PM1_NBB_10,Drosophila_biarmipes,3_5,N,1,N,DB_PM1_NBB,09.19.2016,11:05,25,51,45.57,N,NA,NA,Rene,
DB_PM1_NBB_11,Drosophila_biarmipes,3_5,N,1,N,DB_PM1_NBB,09.19.2016,11:15,25,31,33.83,N,NA,NA,Rene,
DB_PM1_NBB_12,Drosophila_biarmipes,3_5,N,1,N,DB_PM1_NBB,09.26.2016,10:36,25,4,11.54,N,NA,NA,Rene,
DB_PM1_NBB_13,Drosophila_biarmipes,3_5,N,1,N,DB_PM1_NBB,09.26.2016,10:36,25,0,0,N,NA,NA,Marissa,
DB_PM1_NBB_14,Drosophila_biarmipes,3_5,N,1,N,DB_PM1_NBB,09.26.2016,10:47,25,14,21.97,N,NA,NA,Marissa,
DB_PM1_NBB_15,Drosophila_biarmipes,3_5,N,1,N,DB_PM1_NBB,09.26.2016,10:47,25,1,5.74,N,NA,NA,Rene,
DB_PM1_NBB_16,Drosophila_biarmipes,3_5,N,1,N,DB_PM1_NBB,09.26.2016,11:01,25,2,8.13,N,NA,NA,Rene,
DB_PM1_NBB_17,Drosophila_biarmipes,3_5,N,1,N,DB_PM1_NBB,09.26.2016,11:12,25,3,9.97,N,NA,NA,Rene,
DB_PM1_NBB_18,Drosophila_biarmipes,3_5,N,1,N,DB_PM1_NBB,09.26.2016,11:22,25,14,21.97,N,NA,NA,Rene,
DB_PM1_NBB_19,Drosophila_biarmipes,3_5,N,1,N,DB_PM1_NBB,09.26.2016,11:33,25,8,16.43,N,NA,NA,Rene,
DB_PM1_NBB_20,Drosophila_biarmipes,3_5,N,1,N,DB_PM1_NBB,09.26.2016,11:46,25,7,15.34,N,NA,NA,Rene,
DS_PM24_BB_01,Drosophila_suzukii,4_6,N,24,Y,DS_PM24_BB,10.04.2016,9:21,22.5,4,11.54,N,NA,NA,Rene,
DS_PM24_BB_02,Drosophila_suzukii,4_6,N,24,Y,DS_PM24_BB,10.04.2016,9:32,23,16,23.58,N,NA,NA,Rene,
DS_PM24_BB_03,Drosophila_suzukii,4_6,N,24,Y,DS_PM24_BB,10.04.2016,9:42,23,46,42.71,N,NA,NA,Rene,
DS_PM24_BB_04,Drosophila_suzukii,4_6,N,24,Y,DS_PM24_BB,10.25.2016,8:45,23,10,18.43,N,NA,NA,Rene,
DS_PM24_BB_05,Drosophila_suzukii,4_6,N,24,Y,DS_PM24_BB,10.25.2016,8:56,23,12,20.27,N,NA,NA,Rene,
DS_PM24_BB_06,Drosophila_suzukii,4_6,N,24,Y,DS_PM24_BB,10.25.2016,9:06,23,36,36.87,N,NA,NA,Rene,
DS_PM24_BB_07,Drosophila_suzukii,4_6,N,24,Y,DS_PM24_BB,11.08.2016,9:43,23,66,54.33,N,NA,NA,Rene,
DS_PM24_BB_08,Drosophila_suzukii,4_6,N,24,Y,DS_PM24_BB,11.08.2016,9:58,23,24,29.33,N,NA,NA,Rene,
DS_PM24_BB_09,Drosophila_suzukii,4_6,N,24,Y,DS_PM24_BB,11.08.2016,10:05,23,8,16.43,N,NA,NA,Rene,
DS_PM24_BB_10,Drosophila_suzukii,4_6,N,24,Y,DS_PM24_BB,11.08.2016,10:08,23,50,45,N,NA,NA,Rene,
DS_PM24_BB_11,Drosophila_suzukii,4_6,N,24,Y,DS_PM24_BB,11.08.2016,10:15,23,19,25.84,N,NA,NA,Rene,
DS_PM24_BB_12,Drosophila_suzukii,4_6,N,24,Y,DS_PM24_BB,11.08.2016,10:18,23,0,0,N,NA,NA,Rene,
DS_PM24_BB_13,Drosophila_suzukii,4_6,N,24,Y,DS_PM24_BB,11.08.2016,10:26,23,69,56.17,N,NA,NA,Rene,
DS_PM24_BB_14,Drosophila_suzukii,4_6,N,24,Y,DS_PM24_BB,11.08.2016,10:29,23,24,29.33,N,NA,NA,Rene,
DS_PM24_BB_15,Drosophila_suzukii,4_6,N,24,Y,DS_PM24_BB,11.08.2016,10:36,23,18,25.1,N,NA,NA,Rene,
DS_PM24_BB_16,Drosophila_suzukii,4_6,N,24,Y,DS_PM24_BB,11.08.2016,10:40,23,31,33.83,N,NA,NA,Rene,
DS_PM24_BB_17,Drosophila_suzukii,4_6,N,24,Y,DS_PM24_BB,11.08.2016,10:49,23,18,25.1,N,NA,NA,Rene,
DS_PM24_BB_18,Drosophila_suzukii,4_6,N,24,Y,DS_PM24_BB,11.08.2016,10:49,23,5,12.92,N,NA,NA,Marissa,
DS_PM24_BB_19,Drosophila_suzukii,4_6,N,24,Y,DS_PM24_BB,11.08.2016,11:00,23,23,28.66,N,NA,NA,Marissa,
DS_PM24_BB_20,Drosophila_suzukii,4_6,N,24,Y,DS_PM24_BB,11.08.2016,11:03,23,11,19.37,N,NA,NA,Rene,
DB_PM24_NBB_01,Drosophila_biarmipes,4_6,N,24,N,DB_PM24_NBB,09.27.2016,10:17,23,30,33.21,N,NA,NA,Rene,
DB_PM24_NBB_02,Drosophila_biarmipes,4_6,N,24,N,DB_PM24_NBB,09.27.2016,10:27,23,29,32.58,N,NA,NA,Rene,
DB_PM24_NBB_03,Drosophila_biarmipes,4_6,N,24,N,DB_PM24_NBB,09.27.2016,10:37,23,69,56.17,N,NA,NA,Rene,
DB_PM24_NBB_04,Drosophila_biarmipes,4_6,N,24,N,DB_PM24_NBB,09.27.2016,10:47,24,12,20.27,N,NA,NA,Rene,
DB_PM24_NBB_05,Drosophila_biarmipes,4_6,N,24,N,DB_PM24_NBB,09.27.2016,10:57,24,38,38.06,N,NA,NA,Rene,
DB_PM24_NBB_06,Drosophila_biarmipes,4_6,N,24,N,DB_PM24_NBB,10.05.2016,10:18,22.5,0,0,N,NA,NA,Marissa,
DB_PM24_NBB_07,Drosophila_biarmipes,4_6,N,24,N,DB_PM24_NBB,10.05.2016,10:18,22.5,4,11.54,Y,500,1600,Rene,F may not have successfully copulated previous day (only ~ 5 minutes)
DB_PM24_NBB_08,Drosophila_biarmipes,4_6,N,24,N,DB_PM24_NBB,10.05.2016,10:30,22.5,3,9.97,N,NA,NA,Marissa,
DB_PM24_NBB_09,Drosophila_biarmipes,4_6,N,24,N,DB_PM24_NBB,10.05.2016,10:42,22.5,0,0,N,NA,NA,Marissa,
DB_PM24_NBB_10,Drosophila_biarmipes,4_6,N,24,N,DB_PM24_NBB,10.18.2016,8:28,22.5,0,0,N,NA,NA,Rene,
DB_PM24_NBB_11,Drosophila_biarmipes,4_6,N,24,N,DB_PM24_NBB,10.18.2016,8:39,22.5,24,29.33,N,NA,NA,Rene,
DB_PM24_NBB_12,Drosophila_biarmipes,4_6,N,24,N,DB_PM24_NBB,10.18.2016,8:49,22.5,51,45.57,N,NA,NA,Rene,
DB_PM24_NBB_13,Drosophila_biarmipes,4_6,N,24,N,DB_PM24_NBB,10.18.2016,9:00,22.5,6,14.18,N,NA,NA,Rene,
DB_PM24_NBB_14,Drosophila_biarmipes,4_6,N,24,N,DB_PM24_NBB,11.08.2016,8:34,22.5,2,8.13,N,NA,NA,Rene,
DB_PM24_NBB_15,Drosophila_biarmipes,4_6,N,24,N,DB_PM24_NBB,11.08.2016,8:43,22.5,3,9.97,N,NA,NA,Rene,
DB_PM24_NBB_16,Drosophila_biarmipes,4_6,N,24,N,DB_PM24_NBB,11.08.2016,8:48,22.5,33,35.06,N,NA,NA,Rene,
DB_PM24_NBB_17,Drosophila_biarmipes,4_6,N,24,N,DB_PM24_NBB,11.08.2016,8:55,22.5,28,31.95,N,NA,NA,Rene,
DB_PM24_NBB_18,Drosophila_biarmipes,4_6,N,24,N,DB_PM24_NBB,11.08.2016,8:59,22.5,77,61.34,N,NA,NA,Rene,
DB_PM24_NBB_19,Drosophila_biarmipes,4_6,N,24,N,DB_PM24_NBB,11.08.2016,9:05,22.5,9,17.46,N,NA,NA,Rene,
DB_PM24_NBB_20,Drosophila_biarmipes,4_6,N,24,N,DB_PM24_NBB,11.08.2016,9:28,23,33,35.06,N,NA,NA,Rene,
DS_PM168_BB_01,Drosophila_suzukii,10_12,N,168,Y,DS_PM168_BB,09.27.2016,9:03,22.5,33,35.06,N,NA,NA,Rene,
DS_PM168_BB_02,Drosophila_suzukii,10_12,N,168,Y,DS_PM168_BB,09.27.2016,9:14,22.5,11,19.37,N,NA,NA,Rene,
DS_PM168_BB_03,Drosophila_suzukii,10_12,N,168,Y,DS_PM168_BB,09.27.2016,9:24,22.5,4,11.54,N,NA,NA,Rene,
